word,tile_length,status,sources
аа,2,accepted,"pdf"
аааира,6,accepted,"cik-pogodi"
аабуна,6,accepted,"cik-pogodi"
аавада,6,accepted,"cik-pogodi"
аавала,6,accepted,"cik-pogodi"
аамоли,6,accepted,"pdf"
аани,4,accepted,"cik-pogodi"
аање,4,accepted,"cik-pogodi"
аасу,4,accepted,"cik-pogodi"
аат,3,accepted,"pdf"
аатни,5,accepted,"pdf"
абажур,6,accepted,"cik-pogodi|pdf"
абецеда,7,accepted,"pdf"
абецедни,8,accepted,"pdf"
абецедно,8,accepted,"pdf"
аблатив,7,accepted,"pdf"
абонент,7,accepted,"pdf"
абонос,6,accepted,"cik-pogodi|pdf"
абоносни,8,accepted,"pdf"
абоносов,8,accepted,"pdf"
абортив,7,accepted,"pdf"
абортус,7,accepted,"pdf"
абразив,7,accepted,"pdf"
абразија,8,accepted,"pdf"
аброноша,8,accepted,"pdf"
ав,2,accepted,"pdf"
авај,4,accepted,"cik-pogodi|pdf"
аван,4,accepted,"cik-pogodi|pdf"
аванс,5,accepted,"cik-pogodi|pdf"
авански,7,accepted,"pdf"
авантура,8,accepted,"pdf"
аварин,6,accepted,"cik-pogodi|pdf"
аварски,7,accepted,"pdf"
август,6,accepted,"cik-pogodi|pdf"
авдес,5,accepted,"cik-pogodi|pdf"
авдесни,7,accepted,"pdf"
авдест,6,accepted,"pdf"
авенија,7,accepted,"pdf"
аверзија,8,accepted,"pdf"
аверс,5,accepted,"cik-pogodi|pdf"
авет,4,accepted,"pdf"
аветан,6,accepted,"pdf"
аветиња,7,accepted,"pdf"
аветски,7,accepted,"pdf"
авеш,4,accepted,"cik-pogodi"
авиза,5,accepted,"cik-pogodi|pdf"
авизни,6,accepted,"cik-pogodi|pdf"
авио,4,accepted,"cik-pogodi"
авион,5,accepted,"cik-pogodi|pdf"
авиона,6,accepted,"cik-pogodi"
авиони,6,accepted,"cik-pogodi"
авионски,8,accepted,"pdf"
авлија,6,accepted,"cik-pogodi|pdf"
авној,5,accepted,"pdf"
авнојски,8,accepted,"pdf"
авокадо,7,accepted,"pdf"
ага,3,accepted,"pdf"
агава,5,accepted,"cik-pogodi|pdf"
аге,3,accepted,"pdf"
агенда,6,accepted,"cik-pogodi|pdf"
агенс,5,accepted,"pdf"
агент,5,accepted,"cik-pogodi|pdf"
агентски,8,accepted,"pdf"
агентура,8,accepted,"pdf"
агенција,8,accepted,"pdf"
агилан,6,accepted,"cik-pogodi|pdf"
агилно,6,accepted,"cik-pogodi|pdf"
агилност,8,accepted,"pdf"
агиница,7,accepted,"pdf"
агински,7,accepted,"pdf"
агитатор,8,accepted,"pdf"
агитпроп,8,accepted,"pdf"
агнец,5,accepted,"cik-pogodi|pdf"
агнецм,6,accepted,"cik-pogodi"
агнозија,8,accepted,"pdf"
агностик,8,accepted,"pdf"
аговати,7,accepted,"pdf"
агонија,7,accepted,"pdf"
агонично,8,accepted,"pdf"
аграр,5,accepted,"cik-pogodi|pdf"
аграрни,7,accepted,"pdf"
аграрски,8,accepted,"pdf"
агрегат,7,accepted,"pdf"
агреман,7,accepted,"pdf"
агресија,8,accepted,"pdf"
агресор,7,accepted,"pdf"
агро,4,accepted,"cik-pogodi"
агроном,7,accepted,"pdf"
агруми,6,accepted,"cik-pogodi|pdf"
агусов,6,accepted,"pdf"
ада,3,accepted,"pdf"
адађо,5,accepted,"cik-pogodi|pdf"
адверб,6,accepted,"cik-pogodi|pdf"
адвербни,8,accepted,"pdf"
адвокат,7,accepted,"pdf"
адепт,5,accepted,"cik-pogodi|pdf"
адитив,6,accepted,"cik-pogodi|pdf"
адјектив,8,accepted,"pdf"
адмирал,7,accepted,"pdf"
аднекс,6,accepted,"cik-pogodi|pdf"
адоптант,8,accepted,"pdf"
адоптат,7,accepted,"pdf"
адопција,8,accepted,"pdf"
адреса,6,accepted,"cik-pogodi|pdf"
адресант,8,accepted,"pdf"
адресар,7,accepted,"pdf"
адресат,7,accepted,"pdf"
адски,5,accepted,"cik-pogodi|pdf"
адут,4,accepted,"cik-pogodi|pdf"
адутски,7,accepted,"pdf"
адхезија,8,accepted,"pdf"
ађутант,7,accepted,"pdf"
аекмоли,7,accepted,"pdf"
аелио,5,accepted,"pdf"
аерација,8,accepted,"pdf"
аеро,4,accepted,"cik-pogodi"
аероб,5,accepted,"cik-pogodi|pdf"
аеробик,7,accepted,"pdf"
аеродром,8,accepted,"pdf"
аероклуб,8,accepted,"pdf"
аеролог,7,accepted,"pdf"
аеронаут,8,accepted,"pdf"
аеропорт,8,accepted,"pdf"
аерорели,8,accepted,"pdf"
аеросол,7,accepted,"pdf"
аеростат,8,accepted,"pdf"
аждаја,6,accepted,"pdf"
аждајица,8,accepted,"pdf"
аждајски,8,accepted,"pdf"
ажио,4,accepted,"cik-pogodi|pdf"
ажур,4,accepted,"cik-pogodi|pdf"
ажуран,6,accepted,"cik-pogodi|pdf"
ажурно,6,accepted,"cik-pogodi|pdf"
ажурност,8,accepted,"pdf"
аз,2,accepted,"pdf"
азбест,6,accepted,"cik-pogodi|pdf"
азбестни,8,accepted,"pdf"
азбука,6,accepted,"cik-pogodi|pdf"
азбучни,7,accepted,"pdf"
азбучно,7,accepted,"pdf"
азиј,4,accepted,"cik-pogodi|pdf"
азија,5,accepted,"pdf"
азијат,6,accepted,"pdf"
азијац,6,accepted,"pdf"
азијка,6,accepted,"pdf"
азијски,7,accepted,"pdf"
азил,4,accepted,"cik-pogodi|pdf"
азилант,7,accepted,"pdf"
азимут,6,accepted,"cik-pogodi|pdf"
азимутни,8,accepted,"pdf"
азоик,5,accepted,"cik-pogodi|pdf"
азојски,7,accepted,"pdf"
азот,4,accepted,"cik-pogodi|pdf"
азотара,7,accepted,"pdf"
азотни,6,accepted,"cik-pogodi|pdf"
азотов,6,accepted,"cik-pogodi|pdf"
азофски,7,accepted,"pdf"
азур,4,accepted,"cik-pogodi|pdf"
азуран,6,accepted,"cik-pogodi|pdf"
азурно,6,accepted,"cik-pogodi|pdf"
аи,2,accepted,"pdf"
аикидо,6,accepted,"cik-pogodi|pdf"
аио,3,accepted,"pdf"
аира,4,accepted,"cik-pogodi"
аиса,4,accepted,"cik-pogodi"
аисање,6,accepted,"cik-pogodi"
аисе,4,accepted,"cik-pogodi"
аисник,6,accepted,"cik-pogodi"
аих,3,accepted,"pdf"
ај,2,accepted,"pdf"
аја,3,accepted,"pdf"
ајао,4,accepted,"cik-pogodi|pdf"
ајаох,5,accepted,"pdf"
ајатолах,8,accepted,"pdf"
ајвар,5,accepted,"cik-pogodi|pdf"
ајгир,5,accepted,"cik-pogodi|pdf"
ајгирски,8,accepted,"pdf"
ајгируша,8,accepted,"pdf"
ајдаред,7,accepted,"pdf"
ајкула,6,accepted,"pdf"
ајлајнер,8,accepted,"pdf"
ајнц,4,accepted,"cik-pogodi|pdf"
ајој,4,accepted,"cik-pogodi|pdf"
ајс,3,accepted,"pdf"
ајскати,7,accepted,"pdf"
ајснути,7,accepted,"pdf"
ајурведа,8,accepted,"pdf"
ак,2,accepted,"pdf"
академац,8,accepted,"pdf"
академик,8,accepted,"pdf"
акати,5,accepted,"pdf"
акација,7,accepted,"pdf"
аквадукт,8,accepted,"pdf"
акваплан,8,accepted,"pdf"
акварел,7,accepted,"pdf"
акварист,8,accepted,"pdf"
акведукт,8,accepted,"pdf"
акна,4,accepted,"cik-pogodi|pdf"
акнути,6,accepted,"cik-pogodi|pdf"
ако,3,accepted,"pdf"
акобогда,8,accepted,"pdf"
аков,4,accepted,"cik-pogodi|pdf"
аковчић,7,accepted,"pdf"
аконто,6,accepted,"cik-pogodi|pdf"
акорд,5,accepted,"pdf"
акордант,8,accepted,"pdf"
акордеон,8,accepted,"pdf"
акордни,7,accepted,"pdf"
акреп,5,accepted,"cik-pogodi|pdf"
акрибија,8,accepted,"pdf"
акробат,7,accepted,"pdf"
акробата,8,accepted,"pdf"
акроним,7,accepted,"pdf"
акропола,8,accepted,"pdf"
акростих,8,accepted,"pdf"
аксиом,6,accepted,"cik-pogodi|pdf"
акт,3,accepted,"pdf"
актер,5,accepted,"cik-pogodi|pdf"
актерка,7,accepted,"pdf"
актерски,8,accepted,"pdf"
актив,5,accepted,"cik-pogodi|pdf"
актива,6,accepted,"cik-pogodi|pdf"
активан,7,accepted,"pdf"
активац,7,accepted,"pdf"
активист,8,accepted,"pdf"
активно,7,accepted,"pdf"
актик,5,accepted,"pdf"
актино,6,accepted,"cik-pogodi"
актовка,7,accepted,"pdf"
акту,4,accepted,"cik-pogodi|pdf"
актуално,8,accepted,"pdf"
актуелан,8,accepted,"pdf"
актуелно,8,accepted,"pdf"
акузатив,8,accepted,"pdf"
акуратан,8,accepted,"pdf"
акуратно,8,accepted,"pdf"
акустика,8,accepted,"pdf"
акут,4,accepted,"cik-pogodi|pdf"
акутан,6,accepted,"cik-pogodi|pdf"
акутни,6,accepted,"cik-pogodi"
акутно,6,accepted,"cik-pogodi|pdf"
акутност,8,accepted,"pdf"
акутски,7,accepted,"pdf"
акушер,6,accepted,"pdf"
акушерка,8,accepted,"pdf"
акушно,6,accepted,"cik-pogodi"
акцепт,6,accepted,"cik-pogodi|pdf"
акцесија,8,accepted,"pdf"
акци,4,accepted,"cik-pogodi"
акцидент,8,accepted,"pdf"
акциза,6,accepted,"cik-pogodi|pdf"
акција,6,accepted,"pdf"
акцијаш,7,accepted,"pdf"
акцијски,8,accepted,"pdf"
акционар,8,accepted,"pdf"
акциони,7,accepted,"pdf"
акшам,5,accepted,"pdf"
ала,3,accepted,"pdf"
алав,4,accepted,"cik-pogodi|pdf"
алаво,5,accepted,"cik-pogodi|pdf"
алавост,7,accepted,"pdf"
алајбег,7,accepted,"pdf"
алакати,7,accepted,"pdf"
алакнути,8,accepted,"pdf"
алал,4,accepted,"cik-pogodi|pdf"
алалити,7,accepted,"pdf"
аламуња,7,accepted,"pdf"
алан,4,accepted,"cik-pogodi|pdf"
алапача,7,accepted,"pdf"
аларм,5,accepted,"cik-pogodi|pdf"
алармни,7,accepted,"pdf"
алас,4,accepted,"cik-pogodi|pdf"
аласки,6,accepted,"cik-pogodi|pdf"
алат,4,accepted,"cik-pogodi|pdf"
алатаст,7,accepted,"pdf"
алатљика,8,accepted,"pdf"
алатни,6,accepted,"cik-pogodi|pdf"
алатница,8,accepted,"pdf"
алатуша,7,accepted,"pdf"
алаук,5,accepted,"cik-pogodi|pdf"
алаукати,8,accepted,"pdf"
алах,4,accepted,"cik-pogodi|pdf"
алаш,4,accepted,"cik-pogodi"
алашка,6,accepted,"cik-pogodi"
алашке,6,accepted,"cik-pogodi"
алашки,6,accepted,"cik-pogodi"
албанац,7,accepted,"pdf"
албанка,7,accepted,"pdf"
албански,8,accepted,"pdf"
албатрос,8,accepted,"pdf"
албин,5,accepted,"cik-pogodi|pdf"
албински,8,accepted,"pdf"
албум,5,accepted,"cik-pogodi|pdf"
албумин,7,accepted,"pdf"
албумски,8,accepted,"pdf"
алва,4,accepted,"cik-pogodi|pdf"
алваџија,8,accepted,"pdf"
алвеола,7,accepted,"pdf"
алга,4,accepted,"cik-pogodi|pdf"
алгебра,7,accepted,"pdf"
алгол,5,accepted,"pdf"
алдехид,7,accepted,"pdf"
алев,4,accepted,"cik-pogodi|pdf"
алегро,6,accepted,"cik-pogodi|pdf"
алеја,5,accepted,"cik-pogodi|pdf"
алелуја,7,accepted,"pdf"
алем,4,accepted,"cik-pogodi|pdf"
алемов,6,accepted,"cik-pogodi|pdf"
алерген,7,accepted,"pdf"
алергија,8,accepted,"pdf"
али,3,accepted,"pdf"
алиби,5,accepted,"pdf"
алигатор,8,accepted,"pdf"
ализам,6,accepted,"pdf"
алијанса,8,accepted,"pdf"
алијас,6,accepted,"pdf"
алилуја,7,accepted,"pdf"
алинеја,7,accepted,"pdf"
алка,4,accepted,"cik-pogodi|pdf"
алкалан,7,accepted,"pdf"
алкалија,8,accepted,"pdf"
алкица,6,accepted,"cik-pogodi|pdf"
алкоран,7,accepted,"pdf"
алкос,5,accepted,"cik-pogodi|pdf"
алкотест,8,accepted,"pdf"
алкохол,7,accepted,"pdf"
алкуран,7,accepted,"pdf"
алмандин,8,accepted,"pdf"
алне,4,accepted,"cik-pogodi"
ални,4,accepted,"cik-pogodi"
ално,4,accepted,"cik-pogodi"
