word	page	raw	initialCorrected
аа	26	ма	True
аамоли	23	камоли	True
аат	47	лат.	True
аатни	55	3.хатни	True
абажур	17	абажур,	False
абецеда	17	абецеда	False
абецедни	17	абецедни,	False
абецедно	17	абецедно	False
аблатив	17	аблатйв	False
абонент	17	абонент	False
абонос	17	абонос	False
абоносни	17	абоносни	False
абоносов	18	абоносов	False
абортив	18	абортив,	False
абортус	18	абортус	False
абразив	18	абразив	False
абразија	18	абразија	False
аброноша	18	аброноmа	False
ав	18	ав	False
аван	18	аван	False
аванс	18	аванс	False
авански	18	авански,	False
авантура	18	авантура	False
аварин	18	Аварин	False
аварски	18	аварски,	False
авај	18	авај	False
август	18	август1	False
авдес	18	авдес(т)	False
авдесни	18	авдесни,	False
авдест	18	авдес(т)	False
авенија	18	авёнија	False
аверзија	18	аверзија	False
аверс	18	аверс	False
авет	18	авёт	False
аветан	18	авётан	False
аветиња	18	аветиња	False
аветски	18	авётски	False
авиза	18	авиза	False
авизни	18	авизни,	False
авион	18	авион,	False
авионски	18	авионски,	False
авлија	18	авлија	False
авној	18	Авној	False
авнојски	19	авнојскй,	False
авокадо	19	авокадо	False
ага	19	ага	False
агава	19	агава	False
аге	19	аге	False
агенда	19	агенда	False
агенс	19	агенс	False
агент	19	агент	False
агентски	19	агентскй,	False
агентура	19	агентура	False
агенција	19	агенција	False
агилан	19	агйлан,	False
агилно	19	агйлно	False
агилност	19	агилност,	False
агиница	19	агиница	False
агински	19	агинскй,	False
агитатор	19	агитатор	False
агитпроп	19	агитпроп	False
агнец	19	агнец	False
агнозија	19	агнозија	False
агностик	19	агностик	False
аговати	19	аговати,	False
агонично	19	агонично	False
агонија	19	агонија	False
аграр	19	аграр,	False
аграрни	19	аграрнй,	False
аграрски	19	аграрскй,	False
агрегат	19	агрегат,	False
агреман	19	агреман,	False
агресија	20	агресија	False
агресор	20	агресор	False
агроном	20	агроном	False
агруми	20	агруми	False
агусов	44	ргусов,	True
ада	20	ада	False
адађо	20	адађо	False
адверб	20	адверб	False
адвербни	20	адвербнй	False
адвокат	20	адвокат,	False
адепт	20	адепт	False
адитив	20	адитйв	False
адмирал	21	адмирал,	False
аднекс	21	аднекс	False
адоптант	21	адоптант	False
адоптат	21	адоптат,	False
адопција	21	адопција	False
адреса	21	адреса	False
адресант	21	адресант	False
адресар	21	адресар,	False
адресат	21	адресат,	False
адски	21	адски,	False
адут	21	адУт,	False
адутски	21	адУтски,	False
адхезија	21	адхёзија	False
адјектив	20	адјектйв	False
аекмоли	35	некмоли	True
аелио	31	мелио	True
аерација	21	аерација	False
